"","X","profile_id","upper_depth","latitude","longitude","dsds","profile_layer_id","lower_depth","layer_name","sand_value_avg","silt_value_avg","clay_value_avg","bdfiod_value_avg","bdfiod_method","orgc_value_avg","totc_value_avg","orgc_sd","cstock_t.ha","landcover"
"261",3861,607310,0,39.07516098,-8.93665314,110,3112078,25,NA,NA,12.4,32.5,1.58,"{""1:sample type = not specified, calculation = not specified, corrections = not specified, measurement condition = oven dry (~ 105-110 °C)""}",0.386666666666667,NA,0.240069434400411,12.4282881112416,"Tree cover"
"262",3870,607311,0,40.59463882,-8.72817707,80,3112081,40,NA,NA,5.9,6.1,NA,NA,0.95,NA,NA,50.502195344834,"Tree cover"
"266",3915,607315,0,39.17840958,-8.40438843,95,3112094,30,NA,NA,20.1,13.2,NA,NA,8.14,NA,6.29325035256027,194.4925456754,"Tree cover"
"267",3924,607316,0,39.24876022,-8.03783607,110,3112097,25,NA,NA,18.4,12.2,NA,NA,3.09,NA,1.82433549546129,83.9433880298436,"Grassland"
"270",3972,607319,0,39.33264923,-7.3878479,40,3112109,25,NA,NA,12.3,6,NA,NA,3.48,NA,1.65462986797652,94.7193705653282,"Shrubland"
"271",3976,607320,0,40.66378021,-8.47961426,80,3112111,30,NA,NA,20,19.6,NA,NA,0.66,NA,NA,25.0728349718891,"Cropland"
"272",3985,607321,0,39.15983963,-7.19552994,115,3112114,27,NA,NA,17.6,5.7,NA,NA,1.425,NA,1.209152595829,48.164515155565,"Grassland"
"273",4001,607322,0,40.5030899,-8.58742809,70,3112118,25,NA,NA,23.7,36,NA,NA,1.6,NA,NA,45.2079835063953,"Grassland"
"274",4005,607323,0,40.58472061,-8.42200184,110,3112120,25,NA,NA,20.1,12.6,NA,NA,2.425,NA,2.31223917448001,68.7332271976459,"Tree cover"
"276",4025,607325,0,40.5304718,-8.61987972,65,3112126,25,NA,NA,19.7,35.7,NA,NA,0.695,NA,0.0353553390593274,21.2124187342097,"Shrubland"
"278",4045,607327,0,40.57999039,-8.36504173,65,3112132,30,NA,NA,21.6,45.6,NA,NA,0.37,NA,NA,13.4091934179869,"Grassland"
"279",4054,607328,0,39.29198074,-7.31928682,120,3112135,30,NA,NA,10.6,6.3,NA,NA,3.285,NA,1.46371103705615,108.585243555362,"Grassland"
